                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.5854,                 1.5059,                 1.5761,                0.66726,                0.52424,                0.59375,                0.31829,                 1.6205,                 1.5533,                 1.6077,               0.000944,               0.000944,               0.000944
                     82,                 1.6079,                 1.4914,                 1.6005,                0.73573,                0.47576,                0.57561,                0.30581,                 1.6514,                    1.6,                 1.6442,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.5963,                 1.5132,                 1.5919,                0.69695,                 0.5303,                0.60918,                0.32384,                 1.6201,                 1.4988,                 1.6084,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.5676,                  1.499,                 1.5666,                0.60522,                0.55284,                0.59639,                 0.3279,                 1.6116,                  1.508,                 1.6036,              0.0009044,              0.0009044,              0.0009044
                     85,                 1.5892,                 1.5039,                  1.594,                0.63486,                0.55152,                0.60469,                0.32292,                  1.613,                 1.5169,                 1.6208,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.5716,                 1.4973,                 1.5779,                0.70738,                0.54848,                0.61587,                0.33592,                 1.6157,                 1.4865,                 1.6151,               0.000878,               0.000878,               0.000878
                     87,                  1.568,                 1.4933,                 1.5716,                0.65828,                0.56061,                0.61167,                0.31433,                 1.6462,                 1.4925,                 1.6322,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.5424,                 1.4798,                 1.5753,                0.62064,                0.51559,                 0.5534,                0.28895,                 1.6766,                 1.5714,                 1.6633,              0.0008516,              0.0008516,              0.0008516
                     89,                 1.5597,                 1.4411,                 1.5527,                0.73988,                0.53636,                0.62929,                0.32765,                 1.6077,                 1.5228,                 1.5844,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.5487,                 1.5259,                 1.6097,                0.68959,                0.52424,                 0.5976,                0.31467,                 1.6186,                 1.5209,                  1.612,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.6612,                    1.6,                 1.5895,                0.66397,                0.56364,                0.60155,                0.32313,                 1.6188,                 1.5143,                 1.6109,               0.000812,               0.000812,               0.000812
                     92,                  1.533,                 1.4514,                 1.5537,                0.71531,                0.52537,                0.61783,                0.32662,                   1.61,                 1.5021,                 1.5802,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.5481,                 1.4772,                  1.538,                0.62171,                0.55152,                0.60837,                0.33107,                 1.6428,                 1.5001,                 1.6137,              0.0007856,              0.0007856,              0.0007856
                     94,                 1.5522,                 1.4183,                 1.5536,                0.62445,                0.56434,                0.61288,                 0.3257,                 1.6162,                  1.552,                 1.5969,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.5368,                 1.4152,                 1.5391,                 0.6944,                0.52727,                0.60451,                0.32818,                  1.601,                 1.5167,                 1.6041,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.5797,                 1.4301,                 1.5563,                0.68335,                0.56061,                 0.6305,                0.34031,                 1.5855,                 1.4398,                 1.5837,               0.000746,               0.000746,               0.000746
                     97,                 1.5264,                 1.4388,                 1.5493,                0.63488,                0.54545,                0.62009,                0.33718,                 1.5842,                 1.4616,                 1.5871,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.5433,                 1.4941,                 1.5661,                0.71879,                0.51212,                0.62209,                0.32454,                 1.6298,                 1.4613,                 1.6004,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.5189,                 1.4175,                 1.5379,                 0.6505,                0.53333,                0.61274,                0.33692,                 1.5811,                 1.5006,                 1.5726,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.5214,                 1.4451,                 1.5271,                0.62214,                0.54848,                0.62227,                0.34254,                 1.5787,                 1.4316,                 1.5733,              0.0006932,              0.0006932,              0.0006932
                    101,                 1.5539,                 1.4433,                 1.5563,                0.69118,                0.57879,                0.63349,                 0.3381,                 1.6239,                 1.4352,                 1.6088,                0.00068,                0.00068,                0.00068
                    102,                 1.5164,                 1.4299,                 1.5241,                 0.6254,                0.57576,                0.62054,                0.33767,                 1.5721,                 1.4358,                 1.5716,              0.0006668,              0.0006668,              0.0006668
                    103,                 1.5374,                 1.4086,                 1.5315,                0.69121,                0.51212,                0.61416,                0.33467,                 1.5916,                 1.4534,                 1.5751,              0.0006536,              0.0006536,              0.0006536
                    104,                 1.5381,                  1.414,                  1.548,                0.66046,                0.56061,                0.63378,                0.33655,                 1.6024,                 1.4666,                 1.5682,              0.0006404,              0.0006404,              0.0006404
                    105,                 1.5008,                 1.4082,                 1.5134,                0.68038,                0.55152,                0.63334,                0.34999,                 1.5624,                 1.3843,                 1.5474,              0.0006272,              0.0006272,              0.0006272
                    106,                 1.5176,                 1.3679,                 1.5191,                0.74116,                0.52727,                0.62126,                0.33294,                 1.6077,                 1.4574,                 1.5824,               0.000614,               0.000614,               0.000614
                    107,                 1.5168,                 1.4868,                 1.5505,                0.66079,                0.53636,                 0.6163,                0.34101,                 1.5874,                 1.4474,                  1.571,              0.0006008,              0.0006008,              0.0006008
                    108,                 1.4625,                 1.3301,                 1.4914,                0.67665,                0.53902,                0.61806,                0.33395,                  1.595,                 1.4587,                 1.5698,              0.0005876,              0.0005876,              0.0005876
                    109,                 1.4912,                 1.3471,                 1.4881,                0.69437,                0.52121,                0.61823,                0.33817,                 1.5874,                 1.4584,                  1.573,              0.0005744,              0.0005744,              0.0005744
                    110,                   1.53,                 1.4041,                 1.5442,                 0.6014,                0.57608,                0.61901,                0.33788,                 1.5956,                 1.4119,                 1.5761,              0.0005612,              0.0005612,              0.0005612
                    111,                 1.4967,                 1.3669,                 1.5075,                0.64385,                0.51496,                 0.5992,                0.33547,                 1.5846,                 1.4497,                 1.5777,               0.000548,               0.000548,               0.000548
                    112,                 1.4942,                 1.3583,                 1.4779,                0.68494,                0.55996,                0.62592,                0.34035,                 1.5901,                 1.4388,                 1.5792,              0.0005348,              0.0005348,              0.0005348
                    113,                 1.5051,                 1.3968,                 1.5226,                0.71036,                0.52424,                0.62282,                0.34102,                 1.5665,                   1.44,                 1.5507,              0.0005216,              0.0005216,              0.0005216
                    114,                 1.4693,                 1.3022,                 1.4806,                0.70004,                0.53039,                0.63056,                0.34231,                  1.592,                 1.4134,                 1.5589,              0.0005084,              0.0005084,              0.0005084
                    115,                 1.4793,                 1.3618,                 1.4918,                0.65855,                0.54242,                0.63183,                0.34741,                 1.5894,                 1.4023,                 1.5647,              0.0004952,              0.0004952,              0.0004952
                    116,                  1.478,                 1.3506,                 1.4764,                0.70836,                0.54467,                0.62355,                0.34112,                 1.5764,                 1.4211,                 1.5742,               0.000482,               0.000482,               0.000482
                    117,                 1.4913,                 1.3734,                 1.5165,                0.69072,                0.52788,                0.62968,                0.34887,                 1.5681,                 1.4001,                 1.5426,              0.0004688,              0.0004688,              0.0004688
                    118,                 1.4947,                 1.3164,                 1.5124,                0.66919,                0.57009,                 0.6273,                0.34247,                 1.5923,                 1.4301,                 1.5843,              0.0004556,              0.0004556,              0.0004556
                    119,                 1.4498,                  1.295,                 1.5176,                0.66016,                0.56667,                0.63917,                0.36078,                 1.5444,                  1.389,                  1.552,              0.0004424,              0.0004424,              0.0004424
                    120,                 1.4802,                 1.3805,                 1.5278,                0.63769,                0.55455,                0.62424,                0.34786,                 1.5702,                 1.4113,                 1.5566,              0.0004292,              0.0004292,              0.0004292
                    121,                 1.4386,                  1.298,                 1.4822,                0.63574,                0.61212,                0.65196,                0.35859,                 1.5646,                 1.3785,                 1.5599,               0.000416,               0.000416,               0.000416
                    122,                 1.4486,                  1.308,                 1.4778,                0.71262,                0.55758,                0.64842,                0.36019,                  1.571,                 1.3855,                  1.557,              0.0004028,              0.0004028,              0.0004028
                    123,                 1.4345,                 1.3134,                 1.4719,                0.68526,                0.55455,                0.64507,                0.35864,                 1.5505,                 1.3903,                 1.5433,              0.0003896,              0.0003896,              0.0003896
                    124,                   1.43,                 1.3341,                 1.4554,                0.62996,                0.62727,                0.66476,                0.36748,                 1.5471,                 1.3563,                 1.5429,              0.0003764,              0.0003764,              0.0003764
                    125,                 1.4651,                 1.2802,                 1.4687,                0.63443,                0.59091,                0.64674,                0.35667,                 1.5548,                 1.3679,                 1.5427,              0.0003632,              0.0003632,              0.0003632
                    126,                 1.4204,                 1.2901,                 1.4599,                0.63451,                0.58394,                0.64455,                0.35324,                 1.5814,                 1.3965,                 1.5578,                0.00035,                0.00035,                0.00035
                    127,                 1.4406,                 1.2819,                 1.4538,                0.68842,                0.58182,                0.64694,                0.36296,                 1.5487,                 1.3651,                 1.5393,              0.0003368,              0.0003368,              0.0003368
                    128,                  1.462,                 1.2989,                 1.4856,                0.70546,                0.57576,                0.66439,                0.36941,                 1.5453,                 1.3421,                 1.5343,              0.0003236,              0.0003236,              0.0003236
                    129,                 1.4207,                 1.2896,                 1.4568,                 0.6938,                0.57576,                0.64935,                0.36042,                 1.5565,                 1.3707,                 1.5403,              0.0003104,              0.0003104,              0.0003104
                    130,                 1.4126,                 1.2679,                  1.451,                0.73165,                0.53704,                 0.6531,                0.36416,                   1.54,                 1.3476,                 1.5294,              0.0002972,              0.0002972,              0.0002972
                    131,                 1.4795,                 1.3563,                 1.5343,                0.68005,                 0.5697,                  0.664,                0.36992,                 1.5315,                 1.3352,                 1.5155,               0.000284,               0.000284,               0.000284
                    132,                 1.4348,                  1.295,                 1.4651,                0.69785,                0.59091,                 0.6703,                0.36387,                 1.5524,                 1.3393,                 1.5337,              0.0002708,              0.0002708,              0.0002708
                    133,                  1.371,                 1.2525,                 1.4204,                0.67242,                0.62202,                0.66969,                0.36657,                 1.5523,                 1.3729,                 1.5363,              0.0002576,              0.0002576,              0.0002576
                    134,                 1.4368,                 1.2694,                 1.4671,                 0.6955,                0.57273,                0.66286,                0.36328,                 1.5424,                 1.3633,                 1.5329,              0.0002444,              0.0002444,              0.0002444
                    135,                 1.4293,                 1.2851,                 1.4662,                0.72621,                0.56264,                0.65878,                0.37036,                 1.5192,                 1.3423,                 1.5181,              0.0002312,              0.0002312,              0.0002312
                    136,                 1.4274,                 1.2723,                 1.4488,                 0.6979,                0.56364,                0.65921,                0.36893,                  1.541,                 1.3484,                 1.5282,               0.000218,               0.000218,               0.000218
                    137,                 1.4321,                  1.289,                 1.4632,                0.73329,                0.56654,                0.65884,                0.37125,                  1.527,                 1.3365,                 1.5247,              0.0002048,              0.0002048,              0.0002048
                    138,                   1.43,                  1.304,                 1.4717,                 0.7369,                0.54545,                0.65903,                 0.3703,                 1.5392,                  1.337,                 1.5252,              0.0001916,              0.0001916,              0.0001916
                    139,                 1.4445,                 1.2837,                 1.4839,                0.66125,                    0.6,                0.65271,                0.36887,                 1.5203,                  1.346,                 1.5096,              0.0001784,              0.0001784,              0.0001784
                    140,                 1.4014,                 1.2388,                 1.4284,                0.65633,                0.59697,                0.65858,                0.37206,                  1.529,                 1.3407,                 1.5226,              0.0001652,              0.0001652,              0.0001652
                    141,                 1.3896,                 1.2711,                 1.4568,                0.65537,                 0.5697,                0.64601,                0.36049,                  1.557,                 1.3775,                 1.5406,               0.000152,               0.000152,               0.000152
                    142,                  1.374,                 1.3394,                 1.4593,                0.70168,                 0.5697,                0.65547,                0.36062,                 1.5629,                 1.3567,                 1.5376,              0.0001388,              0.0001388,              0.0001388
                    143,                 1.3117,                 1.2097,                 1.4109,                0.70559,                 0.5697,                0.65562,                0.36637,                 1.5498,                 1.3638,                 1.5364,              0.0001256,              0.0001256,              0.0001256
                    144,                    1.3,                  1.186,                 1.3696,                0.65879,                0.58485,                0.66141,                0.36798,                 1.5261,                 1.3659,                 1.5279,              0.0001124,              0.0001124,              0.0001124
                    145,                 1.2746,                  1.146,                 1.3453,                0.69925,                0.58788,                0.66277,                0.37016,                 1.5325,                 1.3766,                 1.5317,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                 1.3033,                  1.195,                 1.3699,                0.69029,                0.59394,                0.65741,                0.36701,                 1.5414,                  1.386,                 1.5391,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                 1.2913,                 1.2002,                 1.3799,                0.70409,                0.58182,                0.66007,                0.37037,                 1.5346,                 1.3707,                 1.5337,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                 1.3181,                 1.1468,                 1.3792,                0.71962,                0.58182,                 0.6666,                0.37324,                 1.5273,                 1.3615,                 1.5284,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 1.3172,                  1.142,                 1.3778,                0.71283,                0.58672,                0.66521,                0.37493,                 1.5316,                 1.3578,                 1.5307,               4.64e-05,               4.64e-05,               4.64e-05
